utility_account_number,computed_gross_cost,rce_scaled_usage,model_rate,marg_based_rate,model_rate_adder
0165643193,312.13,6123.623175025168,0.143,0.056634953065949505,-0.08636504693405048
0189992784,68.43,5648.532523556659,0.042,0.013460723296934854,-0.02853927670306515
0213777390,307.8,6975.934864903865,0.067,0.04902568711193279,-0.017974312888067216
0323761593,295.2,1342.9709476718926,0.042,0.24423462068826166,0.20223462068826165
0381010392,424.31,4302.242378817407,0.09900000000000002,0.10958368079790716,0.010583680797907141
0387518339,329.69,6230.867013466941,0.018,0.058791532772322075,0.04079153277232207
0408746543,394.76,4756.264234892578,0.064,0.09221990212495598,0.02821990212495598
0455580151,275.11,6652.6360774587465,0.041,0.04594836907034666,0.00494836907034666
0500005010517002000995,546.6800000000001,4205.491803323288,0.067,0.1444354788046957,0.0774354788046957
0500015610057001660469,173.47,17272.446051242445,0.028,0.011159070572438113,-0.016840929427561886
0500028960537001291583,422.3,4191.649458272762,0.151,0.11194214279921512,-0.039057857200784876
0500044731257001332791,180.85000000000002,4604.7284996831,0.104,0.04363871712703008,-0.060361282872969914
0500063280797002136022,76.78,7204.300971538045,0.039,0.01184169171279057,-0.02715830828720943
0500065163927001291239,152.26,19782.6393130984,0.067,0.008551830476217725,-0.058448169523782276
0500086164897001882553,172.76999999999998,16784.07984829864,0.058,0.011437425727340415,-0.046562574272659585
0500101598417000012594,472.84999999999997,4210.293525112446,0.056,0.12478676029478421,0.0687867602947842
0500117847387002091533,223.24,2142.3849595227425,0.079,0.11577958636327484,0.036779586363274844
0500129752107001799501,109.77000000000001,7604.018433863399,0.107,0.01603976472801614,-0.09096023527198385
0500138221557000836484,456.94,5118.84227180241,0.058,0.09918475392529323,0.04118475392529323
0500166816087002047179,270.26,8376.435500497853,0.124,0.035849245048331264,-0.08815075495166874
0500193084157001469480,280.78,7031.580026115127,0.142,0.04436809033234343,-0.09763190966765656
0500210877007000635821,105.49,5617.155701099669,0.036,0.02086663025704712,-0.015133369742952877
0500213110847000189292,213.09,1700.995698984925,0.082,0.1391929837376767,0.057192983737676686
0500215868837001615143,313.66,5265.979781611579,0.08600000000000001,0.06618162726869685,-0.019818372731303158
0500216418867001984988,101.5,3962.9219138112776,0.069,0.028458238701280777,-0.040541761298719226
0500232863757000424403,185.57,2693.844457506097,0.09500000000000001,0.0765407550960734,-0.018459244903926614
0500260450837001039664,175.35,3740.276300837677,0.04900000000000001,0.052090625842186634,0.0030906258421866256
0550010050517001235182,892.09,10071.789113798171,0.121,0.09841460140911505,-0.022585398590884945
0550010834707000821493,336.07,1300.31178782903,0.075,0.28717044220182725,0.21217044220182724
0550017124667001101627,125.73,5041.766427203071,0.03,0.027708542634232825,-0.0022914573657671737
0550022259307000655202,200.58,11372.850352664584,0.053,0.019596377315775588,-0.03340362268422441
0550044870097001009652,234.97,2273.155349679058,0.046000000000000006,0.11485258929383721,0.0688525892938372
0550050579007000341649,161.44,2879.9247935015205,0.04900000000000001,0.062285577103450514,0.013285577103450505
0550129455197001397735,210.01000000000002,1702.6424978940684,0.10000000000000002,0.13704840841988794,0.03704840841988792
0550140652417001961651,65.8,5503.12925865401,0.073,0.013285370500091265,-0.05971462949990873
